title,url,material,colors,dimensions,artist
"Willem V vereert de helden van de zeeslag bij Doggersbank, 1781",https://lh4.ggpht.com/0uyJ40nM9d9L3btQ5SwzbKDmZs2mZnnrIuPTbwXBV8vaMn7bqrkFGAIcARDTc1qj3pSHRMo2odmFLx087XheL1W7zuzc=s0,papier,[],165 x 238,Monogrammist IHM
Aanbidding door de koningen,https://lh3.googleusercontent.com/ri_-OzbR_BOkxNk4he1rLmzyu82cjXZ9pn1nYX5y4Cal9olIF8GS_kBgymN4lyOVYuxhdzr2vbxkknvE7AGtqP1eRzc=s0,papier,[],199 x 147,Hendrick Goltzius
Liggende hond,https://lh3.ggpht.com/2A7OfFAiH2bKF859-K9lyG9PxE1jKRGUITi9wKHaurXKgi0-0N_vW6p3Zxd09dlq7TKDd5PuVbhhL00A2LcdWHKNURs=s0,papier,"[{'percentage': 71, 'hex': '#FBF6E1'}, {'percentage': 15, 'hex': ' #E0CC91'}, {'percentage': 7, 'hex': ' #F49B7A'}, {'percentage': 5, 'hex': ' #737C84'}]",83 x 123,Pieter van Bloemen
Portret van Wilhelm II von Hessen-Kassel,https://lh3.googleusercontent.com/qeV-u76HY-_tMOuCfpnI64dlFcavdFlzAzwUTOzx7iRtMHeDFYPFyOc3gu2R4a3TC1sqmupUXSg6RqU3RZl7uAC4R5UhLmUKNJ1Wcc3t=s0,papier,[],160 x 102,Franz Xaver Eissner
Reiziger wordt hartelijk ontvangen door bewoners van een dorp,https://lh3.googleusercontent.com/47orNYTlSk1cxNOQYHxDWRJpejBwQP62HmRs7GnTYl0SaiUmQ7FwbcqgVvDSvRrh_nmUZmeOhFDOYZrWyf1fWdaRuX2X=s0,papier,[],85 x 89,Jan Luyken
Klooster aan een rivier,https://lh3.googleusercontent.com/dBymAS_WYZ6nUn5FQekBD0n1ZKFupRB8U1-N-aTQtQjsL4HOsueNopYaID7Qdzo9OTINirC0q3UHxK7k_B1tOtkst34Aup6VkiOVwtA=s0,papier,[],98 x 164,Nicolas Perelle
Lezende man en een wandelaar op een bospad,https://lh3.googleusercontent.com/aUFMwDq5zDXPuEGp55j_AZADoHcxeAoPWrpYe0H4eqJXJgnfvRqU60D6-FXC9L6yx9pSgORbpvE0cAUgGSgEkbwWxg=s0,papier,[],207 x 148,Reinier Vinkeles (I)
Bacchus en Ceres,https://lh3.googleusercontent.com/Dxaf9HLfjpYRA8dYriUb9GoTivwiaN3lYgHgZwkgGRARajJrwz5HSCfyPVpRp9TpkVaLbyc36q2SuFFtlN7rAGqQAzzwEFM-5mRAKyWP=s0,papier,[],182 x 153,Pierre Brebiette
Evangelist Lucas,https://lh5.ggpht.com/RqGRgfcHb1Hdm8NbnE4GWoI8W9ACvMTkEhD8fN3aovTLDEgDXxgak-Wt-ZcKs0KsxMjhz-JEYqLEzWHjelDd6Kd0Mg=s0,papier,[],65 x 45,Abraham de Bruyn
Koninklijke Pruisische familie,https://lh3.googleusercontent.com/0cOwcpYBkWg0HUvj7G4A-9o6b58Y5mvDXUbTLe1wV8H-AROqSPdphUTS3XMppXTcYrpe1bV1NvOzv44uAl-1e9QKsA=s0,papier,[],158 x 124,Daniel Nikolaus Chodowiecki
Jagers in een veld bij Magny,https://lh3.googleusercontent.com/ruIXSwhQVHTA5OxUMkSB5CL2oGzam2TjbyLIrQTICbHLFyi1tTxwmzmDLAbnf39tOxpfaBpdkdBKHG0vwfHpr_Za_AI=s0,papier,[],79 x 109,Delizy
Herfst,https://lh4.ggpht.com/DOetxRxQIG9Bni8U8dX-DeVMJTOGaqV2Cx-QsRDGjUCSaGPM9WiXskT6d6byKvHHnEy9AE5ZJzlb6vt9iNZ4B2bl1bMT=s0,papier,[],177 x 102,Reinier Vinkeles (I)
Dorpsstraat met een waterput en figuren,https://lh3.googleusercontent.com/4GPeDnoYFfk7ejZCsj-QpZbSHY8S-SsqIVXq7cOg6Y7pluSt7LEa0Umf17-ZWbDh2zp5685pPPRDPYs-cGhXV6fbNDY=s0,papier,[],177 x 102,Hendrik Abraham Klinkhamer
"Recipisse ter waarde van 18 gulden, nr. 17681 uitgegeven door het Comité van Financiën te 's-Gravenhage aan een inwoner uit Gorinchem",https://lh3.googleusercontent.com/bWvfPaewM_DtTR8JsuglqIF_1TM_hHE6kaY7q8s4I2gkkDVP5L9MlEiV8mZlr_I8FcFW48JJQWElaxDM6K58njh8AbO3JpNAfxYAdN7Qrg=s0,papier,[],"10,9 x 16,2",Stad Gorinchem
"Journal des Dames et des Modes, Costumes Parisiens 1835 (3282): Robe de mousselin (...)",https://lh3.googleusercontent.com/rBUQGMHHJ0dJTAimBI0C90H2bFZygEfl3wsxdO1d9gett5-4Mut0h7Vl-kXv_V0E2URw8LgA5EoMG8_UnyyYNAXqmbo=s0,papier,[],247 x 163,Georges Jacques Gatine
Portret van Guillaume Brune in een versierde cartouche,https://lh3.googleusercontent.com/Sz_P2gEiJ_R087y-n9rYSS4S6r4X51NBZaagsIn4QLPSCmdzCAfiqn3C9r6iYumQIhCDAyB-ttp7EJzThCIcObvW0ZXvuf1YRfyagOTp=s0,papier,[],257 x 158,Alphonse Boilly
Mannen bij een scheepswrak,https://lh3.googleusercontent.com/0SQNrkL-Z6a6nbvvCnCDKxdfV0y9iwIVt5M0eRZ5WF2IZBqtzqWTEWMPSheGwo1aA8FQ3OSRS23yLTbDLr6hA8AD1KU=s0,fotodrager,[],81 x 110,Folkert Idzes de Jong
Spotprent,,papier,[],215 x 275,Johan Michaël Schmidt Crans
Rond schilderij van Maria met kind en Johannes de Doper,https://lh4.ggpht.com/8DqnttmEhCyn2-I3uyGADb6vil7KFCbOKlmqp5uQyY6BMjThojpHuUPax0ViZUUwIq5jyyAp5fk2zHcQN1ptnmcEQ6_S=s0,papier,[],215 x 275,anoniem
Jakob bedrogen door Laban,https://lh4.ggpht.com/mUBAtFmyhlT-i3W4rj2SyLW-hR12bVuEL8OYb085TmlTV2owSq9j2MPJRFVKrmDDssQT2ap4h_HcRYICYTC8qhPdpCE=s0,papier,"[{'percentage': 71, 'hex': '#FBF6E1'}, {'percentage': 21, 'hex': ' #737C84'}, {'percentage': 6, 'hex': ' #E0CC91'}]",84 x 120,Crispijn van de Passe (I)
Herder en zijn vee op een bospad,,papier,[],237 x 181,Carl Ernst Forberg
Corsicaans landschap,https://lh3.googleusercontent.com/9gSaLq6hVYR6I5wjG7MX5WmqeYkMoSRJ_sDz9AK_VvaDLmwx2iRH1Bh7nzJnY4T4llYqAqdoGsuPTXXhm86cX_rqMM0=s0,papier,[],100 x 150,Lodewijk Schelfhout
Twaalfde slede,https://lh5.ggpht.com/18LYh2ccqQx_hRF-Fe50-Be7NrFP6rJ0CfC-zcnxO8Rea5jjOtHDcL3o1uailr4BKEksfNX7RmiXxNJ1rfKVJtsWnMU=s0,papier,"[{'percentage': 92, 'hex': '#FBF6E1'}, {'percentage': 6, 'hex': ' #737C84'}, {'percentage': 0, 'hex': ' #2F4F4F'}]",227 x 440,Nicolaas van der Worm
"Gezicht op de American Watch Company en een park in Waltham, Massachusetts",https://lh3.googleusercontent.com/7_fJhS3kBz0Z8kYq3l8GEYTqp-8v48ij0D0UtFc_3IQmetxpBauylmpnSO10zHh3NDj3CPJiDwcW2m6Du6Yuy5xPPn8=s0,fotodrager,[],100 x 155,Thomas R. Lewis
Gezicht op het warenhuis van Thiéry & Cie te Brussel,https://lh3.googleusercontent.com/uhrB6WVNA604UWuOHqLIHaBqYEW8eK8a4eKZA2ttXzVeoA008iZGiNRVBo17LFg_HDfIis2N7zaglB7cNSIWc3b9gd5po1DOUGv7r6QN=s0,papier,[],138 x 180,Auguste Numans
Cephalus en Procris,https://lh3.googleusercontent.com/NRF11gNUdGhTkSGfFRL0-G3sjp6ifG_EiVEXr-fsm4d0BfgtPS2RdJWrK75MlBG5I0V9tYn03gJV8DBVYHI2e1e96bk=s0,papier,[],146 x 211,Paul van Somer (II)
Landschap met gezicht op zee,https://lh3.googleusercontent.com/trVIIVqOc3wE-RRFCrsZuu39nF5DtsDz2Ru1Vw-w3fbCS9NSxnE8OpUSj9YxEvp9z8Ow1F4rLN3i1DAs3V3CHUl1BUWyp__PRJffngb29Q=s0,papier,[],148 x 196,Esaias Boursse
Heilige Familie,https://lh3.googleusercontent.com/lD94Me_rfZgjvMxeiKmfyzBrQLQOeMVhvfVJlO6KC83JEmF7oPjNd6x_gi1fvMY9p7o0CV1Y5QAzPS50rHzDnIGnyej89i73qlO3WCU=s0,papier,[],423 x 304,François de Poilly (I)
Karel III tot koning van Spanje uitgeroepen,https://lh3.googleusercontent.com/Zlb2w5AaCkhPxi80M0619ttvzSPO7NQCeAmKlHAAfcmNvuqQsK-QRPuoGiWl-QFu39DiJnK1CzSHw6v9XwvFbuVp71b-dHlmqOnHSZc=s0,brons,[],"4,9 x 55,12",anoniem
Achterzijde van de triomfpoort Arcus Caroli op de Vrijdagmarkt; intocht van Ferdinand te Gent in 1635 (nr. 27),https://lh5.ggpht.com/wU8rRMQiAdk-LVR-QTuLivfsK9-mPypFs9UeE5Lh-0WVod_czC28a2XpeGBBFxI_DngRNPXiqZyfkZCxmlJPoiiC8UU=s0,papier,"[{'percentage': 69, 'hex': '#FBF6E1'}, {'percentage': 21, 'hex': ' #737C84'}, {'percentage': 8, 'hex': ' #B5BFCC'}]",525 x 324,anoniem
Boskantkerk aan de Prinsessegracht in Den Haag,https://lh3.googleusercontent.com/Ayybx5JuDiJJg9h0lt60bFgzmcbW8OIU-FPmRdRfhWYsQJXSsM-zySdeGz5MU1jC8GtP4LRzTKaHQ6nX2avwUYJsjA2u=s0,papier,[],263 x 335,Wilhelmus Cornelis Chimaer van Oudendorp
Cadmus doodt de draak,https://lh3.googleusercontent.com/Gr8yByLYIsrx9QkORpZtU8hb060kJnB352xDwgq6NFcn-r6BY9P0RHcdK8JD5NfLPBA_aknY1sZcNcfBPGswpyWp7JSl=s0,papier,[],175 x 258,Hendrick Goltzius
Portret van een jongen en een meisje,https://lh3.googleusercontent.com/D24zxU58NfNYkTBXlKelsmJsN3U2liEGuztqvfhgZ2_oYwasiWD877ApXfKBmMlCFiOE4MzOxMCL6o0uX9-40ZiNgQ=s0,karton,[],90 x 57,Woodbury & Page
Bomen aan een meertje,https://lh4.ggpht.com/uYo7sHYRaGDrTG_bZduuAPHYxGjc9UFnM_PhSjqnTTPEIS-iUivWEzBT88dohd84dWhIYxYJFrN-SyCXiMpN-hiPCUY=s0,papier,"[{'percentage': 45, 'hex': '#FBF6E1'}, {'percentage': 17, 'hex': ' #E0CC91'}, {'percentage': 16, 'hex': ' #737C84'}, {'percentage': 16, 'hex': ' #2F4F4F'}, {'percentage': 3, 'hex': ' #000000'}]",149 x 212,Remigius Adrianus Haanen
Boerenfeest met mandolinespeler,https://lh5.ggpht.com/L6z8fbLNj0CyCkm0I2uI_MfuLD-lmpfSR_uoMtywtT-IZCSz5KeyfoZg-UrpqLBpGoGkOvHuZl_ycbJ7uQycKj7Lew=s0,papier,[],116 x 164,Jan Miense Molenaer
Ontwerp voor kostuum voor Menalcas,https://lh3.ggpht.com/ktcWmwgA08-PiAy5Zbu2d7gc7YzHnSR_YOeYLJg8_4FeiEchTOJSqIiHhwSZYIC_ojgDnSin_nYueDz58eakwD_yFmQ=s0,perkament,[],338 x 217,Richard Nicolaüs Roland Holst
"Gezicht op de binnenplaats van het Leprozenhuis te Amsterdam, 1765",https://lh3.googleusercontent.com/m_WF9WmxA3JhbjA3Lc5pbBkU0eLKrslQcCCjPaKH5WMTrvlGFMQa7hVGvUGvylToFW4lF1cSZIxHt9_lQUz81uzxsI3xUQ7YFSdQS5I=s0,papier,[],380 x 508,Simon Fokke
Studioportret van vrouw met boek bij een tafel,https://lh4.ggpht.com/Td-dbI63Xe_9EHcPRpQJmOHqg8yQRAaWt83wNNXS6MuD8JM8iNtiHAQ_JCbjYXqd_DNTkMtrYoc8QOx6h_-BRURO2L-n=s0,fotodrager,[],140 x 97,Jean Daniel Matthieu
Zijschaaf uit 1776,https://lh3.googleusercontent.com/StOuRwe4WigJugKz5jwu08f9S4CHK5IaEE622i_tj4ZrpqNnQdb-LaFizwjKxwf-K8MR5ReAXRQDJA5ho6gmKx5ObJi0rEJJ-a0DqCTl=s0,hout,[],"13,5 x 7,0",anoniem
Mozes ontvangt voorschriften voor de oogst en wijnbouw,,papier,[],66 x 92,Veit Rudolf Specklin
Edelman,https://lh3.googleusercontent.com/MyOep5ZCRiBTrHHci3YSTxJDUlb2sIOUe562GuG9mRc3B-vAg6RxIttOtlEnHZQU9LZkQ14uxCJmFz9ivGqgqfv-bI4=s0,papier,[],92 x 73,Francesco Villamena
Een droom,https://lh3.googleusercontent.com/ZAhJ-TIwk0v2wMph4zIZyuQWjpyN77DM_15vjTASgepL44Xq1fjw9WZIzfVCa_utoSbpbn_P8eT5ztoKrbAZsMKLCA=s0,papier,[],430 x 344,De Ruyter & Meijer
Buste van een man met baard,https://lh3.googleusercontent.com/wgqG1i-Qyu_Ps_lRDSQN3YdYpLhhYV37Qz46oBKCSd1utXUWz2ZVdiGss3IkVGBS3y3NViYumuyIwCPyyp58dwTrXUNTrpkV6tic7Hc=s0,papier,[],220 x 168,anoniem
Wasvrouwen aan het werk,https://lh3.googleusercontent.com/Yb4868S69Z2MpoEIv_eJZzfNA7VXhqMbsWO_N4B__YMomaXJphYxBBGEPlp2YVOmiTlUrRof_x028Oa3fMGqydCFRKQ=s0,papier,[],220 x 168,George Hendrik Breitner
Schotel,https://lh3.googleusercontent.com/8_G0zagHDyVEtJckTX_EKhb5TTYxuwCDqiGMHoonnKa28Tbk8E4aay0GQgo0oRyGyluOZMNcwgzQxAMjgiucu2s1DEWYf-FWfK2fTjY=s0,porselein,[],"13,3 x 2,9",Manufactuur Oud-Loosdrecht
Portret van Albert Gaspard Grimod,https://lh3.googleusercontent.com/xIVINWD-z8fxxKuad8hZpGvdyp7fluJBmPxUJmFw9pKa6QD1XTBD_3PVBLrJfJLE8daX2GvIR7vTzR1JZmiEDAxqbMS2mPjt7_bgTYje=s0,papier,[],178 x 113,Jacques Noël Marie Frémy
Gezelschap trekt door een landschap,https://lh3.googleusercontent.com/1ZwW4SbyOgIq8cUlUidjVfVF7jdFw0hyDeKoBLN-_R6MhTdZTkdw3JjS5_6NM968gqGt6uP4YVGq0okt9IZUgqbrSGibBm4T-ee-C-0=s0,papier,[],208 x 139,Willem Wenckebach
"Portret van Hendrik II, koning van Frankrijk",https://lh3.googleusercontent.com/5B9o6ency7vDLP0oOWSIilTyaTQEVQklOihP4WvAsmFf9L_QL1Z_-O5uiWHA9bFqKa-_9n8LG5oc2834OkpCdVh6Bf2ZdMTwt19B9eRV=s0,papier,[],214 x 185,anoniem
Voorbereidingen voor het bruiloftsfeest,https://lh3.ggpht.com/cVTHobF_7Qo5HJHRBbf60Z5lloAW2oUvZGqeYgaCSDKFmKzT-hmQ4wYR50xYUd5LaK_gLc3HH8jJ9kVCeIFKlgt9cAqm=s0,papier,"[{'percentage': 45, 'hex': '#737C84'}, {'percentage': 27, 'hex': ' #FBF6E1'}, {'percentage': 27, 'hex': ' #2F4F4F'}]",209 x 259,Dirck Volckertsz. Coornhert
Gezicht op de bergen bij Annaberg-Buchholz,https://lh3.googleusercontent.com/EhCvZKilWvOa2gEHUjtltAVMqGWzL2fGuofTZiaj6H54iIJnoBR1peM2znJVE7gCjfwA8BoKCjVKsRr-bCMP1uzamQUxaQr6oKHpgpIZ=s0,papier,[],155 x 197,Ludwig Richter
Hal met machines van suikerfabriek Ngandjoek op Java,https://lh3.googleusercontent.com/IuvVUXtYXAVpfUB3_VG4KDRhlXcoEpiO_UMi2LR9ZIsX6gpd8o5-l3NWRHONAUWccG07OjQMr7Ktal0mhJikDPqvHK0=s0,karton,[],297 x 450,Isken
Lente,https://lh3.ggpht.com/WYURsvLDSILkDZjA2qUt5tIJEFSmaufadqin9e2U5RZiy8A7GNAD3sMqOQXyllvBT_uIGWkeXoF4oYO6LmiaN4PGm1I=s0,papier,"[{'percentage': 43, 'hex': '#737C84'}, {'percentage': 29, 'hex': ' #FBF6E1'}, {'percentage': 18, 'hex': ' #F6ECF3'}, {'percentage': 8, 'hex': ' #2F4F4F'}]",130 x 167,Daniël van den Bremden
Fries met bladranken en een kind,https://lh5.ggpht.com/zHeWWfWQ5_MKku_87WDk_35IYuVMR3DOOcnC_NCxmhiVXHUyWxUoV57CFUyJpEkgoxcNh8tf57lgsRSfM8JC6EzsYA=s0,papier,"[{'percentage': 45, 'hex': '#FBF6E1'}, {'percentage': 38, 'hex': ' #737C84'}, {'percentage': 10, 'hex': ' #2F4F4F'}, {'percentage': 5, 'hex': ' #E0CC91'}]",34 x 90,Heinrich Aldegrever
"Dáár, waar de rijstplant groeit en tiert [(...)]",https://lh3.googleusercontent.com/IznDsEP8ou0bEEgAM6XA6ogbEd3GOlOoTl5gMGA-wZOKR2ksx_xhbK6endTVLSfNWK9Mqaf43jsaVQNyvDAvaXYn5A=s0,papier,[],393 x 312,Albertus Willem Sijthoff
Portret van een jong meisje met een trommel op een stoel,https://lh3.googleusercontent.com/RD-XPKp022NadiKcDVsWZtnhJpO7udvJ9aHVPaTaAFDLoaRKjh38H6_Y6g-pptZdmxrF53jLMsoCB99Ae2VXbOwXale_32eyrqw-beTF=s0,karton,[],84 x 51,Joseph Maes
Kaart van Zuid-Afrika met de voormalige Kaapkolonie,https://lh3.googleusercontent.com/_3t1E-ZYybLHiZzWo8Mn1b3ocncH8YKY8shpK_swniyex4JKxoLE6wdFfEPn4qIr0Y4gmY2H2NH1QUP0b1kiTBuh3ZjSl-IJPVN3e4nV=s0,papier,[],371 x 446,anoniem
Huizen aan het water,https://lh3.ggpht.com/iuAwJQ31LzTC3DvZJ-PlFuSJ2P6TkKCRpLBedcwcaKW64VFB51-CAdDZIhQPmtqpXfNr_2pFi4jAR4sIUWi3yPF0guM=s0,papier,[],125 x 221,George Hendrik Breitner
"Gezicht op een houten huis met tien personen, van wie er een geknipt en/of geschoren wordt",https://lh4.ggpht.com/aBskBD87pW92SJQScTXPOxWxkAOooLV9_Fhq3BD6K86NvBlNWAWHY9o-BStm6j1hI9CR3UOQuh1fTsIDdiDCiuFBEr2w=s0,metaal,[],83 x 106,anoniem
Stal met koeien: de maand november en het seizoen herfst,https://lh3.ggpht.com/lS-fMdVnsY2Cl-SD1pWdWKEk9RRx3FqRVslEmDQ-RQExyASm2AYhgUB6PEvKUxYqp4J34U500uJe78SbYlouBwFlTJU=s0,papier,[],400 x 516,Pieter Nolpe
Titelprent met twee putti met een wapenschild,https://lh3.googleusercontent.com/0pURGVioOhoK7Lwp32IIKIcDmbcMBLlMc7sa5-6VIVZzDSK0n2x-Op0E7T2FGwDFIKst_xxcKcGfUo2cTxfqU7AQBqQs=s0,papier,[],177 x 94,Odoardo Fialetti
Staande dame met hoed en mantel,https://lh3.ggpht.com/NaV9KHOoZHrP4_UbLDIu-0xdjHvOZ62hP-d7Il5qgPepI2R0y4_4S8lIAjJHpPz5tnVhlyCwpzxAIqW0obp9ndf3hA=s0,papier,[],610 x 370,Pieter de Josselin de Jong
Portret van Hendrik Danielsz. Hooft,https://lh3.googleusercontent.com/ISyQ75H25gFoOAB5E6ejl0FFWgeNyvj878l3H67Fmm0EQvWR0viJhJfRmo54EEMRVdG23HlWgIME9P5oaxzBEXRYWbIc=s0,papier,[],98 x 96,Derk Anthony van de Wart
Portret van een jonge vrouw,https://lh3.googleusercontent.com/PD_iiqSKcUwrgs7lpciKgHrt__ddMZ5AzpR-9Dv0-SSDiV1dLXsMR1SYPZk3utlmsTEwNz_sxb3Ws0z8rUmGwLy8yJ7CCRuPVJy3XliF=s0,fotodrager,[],83 x 51,anoniem
"Inrit van een groot dorpshuis, van de binnenhof uit gezien",https://lh6.ggpht.com/Fp5NybT0R0iJw906fD7Q7bLj_t0WD72fzMJ1_pt4hqwNR_8WzUUqSms3djIs4LJ1_cgiPpIwBFLJYOBcY8E3lP9iMa4=s0,papier,[],90 x 120,Pierre Luc Charles Cicéri
Kerkinterieur in Leuven,https://lh3.googleusercontent.com/X4lPUmhfpY6qTUl7Wd2Q70DMwQRuGoqGlTKC0Gzie7ZkI5rYpLSFDoNBLcT4A9aGspA6Qdn_6KIKVXvhrtDWQ1BhAf2CdoejeeSySaQh=s0,papier,[],120 x 160,Alfred Napoléon Delaunois
Tekening bestuursoverdracht Elten in het stadhuis,,fotodrager,[],"22,5 x 17,5",Anefo
Portret van Wolff,,papier,[],430 x 314,Schwabe (lithograaf)
Knielende bisschop biedt Kind op schoot van Maria een vlammend hart aan,https://lh3.googleusercontent.com/T1h8YFPx_W3gw6xBZr8v2at2R0sURaMP5K2FaS5XgCbXesF17YrSGtDcLiVL4N_AEhFD9AfEsQo46eQB9Jr96saHueVAT2xGPSipgRI=s0,papier,[],401 x 280,anoniem
Plaag van de steekvliegen,https://lh6.ggpht.com/rImIyfR4-O2xPjNOvuOQDDCgTaTjBtrBpiJj3DWtF52ZmK8fv2jGUsFKxvSKJdG9viPwyZ_cplwm-KtaKreBK8jw0MNP=s0,papier,[],115 x 150,Jan Luyken
"Aanleg van het Viaur Viaduct in Frankrijk door de Societé de Construction des Battignolles, 2 april 1901",https://lh3.googleusercontent.com/QWDvga5ZOA7rwlwDZPdKs9yejIPs49dcEj2r_5aSjeigq6TX92FVqB67sb41IG_vgNoVMEfDgJSX-bPV82WJ3e2Ccw=s0,fotodrager,[],223 x 286,anoniem
Doek,https://lh3.googleusercontent.com/sDuBIhTlwOT_CzQm6NiIoB6P1v6LuTFDeXKTpatBomNUcqmX-M_dViT1rYaHfkYhxPA4Zx7Sxnxccyu3VdZnlwlgvbo=s0,katoen,[],184 x 96,anoniem
Familie Gutteling,,fotodrager,[],185 x 245,anoniem
Twee vrouwen in badkleding bij een trap aan een oever,https://lh3.ggpht.com/MisPx1QI9eOZHZDwKweRYCjmm2oearmm_RcpDgt5a5SpVTgzBqAsf0gWWdfq5XenSOcnIK4PyNAXfCOxK9gJRExAY9QF=s0,barietpapier,[],130 x 180,anoniem
Naastenliefde (Charitas),https://lh3.googleusercontent.com/EM8r1m98E08UozpZC8BMsnKnaf3wE2Z_o3BjUcQTJxFxB1zNzFhYm2iipO9KOFxY4zvxWp54DsK2CedgOkM5hLXOTEFk=s0,papier,[],146 x 99,Ugo da Carpi
Maanlandschap bij 's Hertogenbosch,,papier,[],160 x 103,Johannes Cornelius Neervoort
Bedelaar. / Krygsman. / Boer. / Edelman,https://lh3.ggpht.com/lxpVA5bSAjJ8yN81zdfagc0Pry5hH1uJfiVtwgVdRvHQuWmwSsCWqA6yxlfnpiG3FFulK2vTVy_qTcor158NH7Xife5U=s0,papier,[],398 x 330,weduwe C. Kok-van Kolm
Christus op de Olijfberg,https://lh3.googleusercontent.com/JnPo63oL5fr7IEf6CkasC1CclnISyn3UPaQCkDpQIJiQuVNHI65HzIyJYNXptLYlhq8UOKlZxREm9J_5PBitVg3YPWQJSL-542wwHP1c=s0,papier,[],489 x 403,Lodewijk Schelfhout
Familieportret in een tuin,https://lh3.googleusercontent.com/TeD27MKc1Pka7q6hB8tTnjmPmYaeE8WFjDd-xOH8GFRUYMMV0usJ_2Jagvwhhjg9_zrafKvbRFifksyTa-kR5dK4SpgOCSVjp9T8_DQ=s0,fotodrager,[],88 x 118,anoniem
Een man en een paard bij een put,https://lh3.googleusercontent.com/KQbFvwbUgsyTv5ubBfZoPU06irdtpOAafWUY7B5uu27Gx_VcgOBit_7XUobrDkLc1v7y_QVqTHo46koEDpqRAY-YTDM=s0,papier,[],188 x 150,Joannes Bemme
"Portret van een meisje, bekend als ‘Het prinsesje’",https://lh3.googleusercontent.com/zqK2t5Sht98UmUJ4AW9GI7mBGzRu41T2EF6FrxO2DBsMw-Q6WanV0Ecici_MEUilx9N4pF_MBHmHlMJuXgsBE2SA_7ccVlqeraVBL9YdDQ=s0,doek,[],"78 x 62,5",Paulus Moreelse
"Zaal met wandtapijten, vitrine, stoel en doorgang",https://lh4.ggpht.com/kl0HQyvWzJ5hf95gTXLTdnQ8kKvS2dG-XnPiMLDoPso3x87eISbGbZPhQffPw-S55qro1U6W4o-gM9lRyxuQAdkMxng3=s0,doek,[],"78 x 62,5",anoniem
Piazza San Pier Maggiore,https://lh3.googleusercontent.com/81ZupjQWRvSyAns0tX-g6zP3ZvtR_f0k0I2SkfFpqqt_c5mLxoRnvc0P6nTT_FjW8G7jx7uUgM5tVyeY8Nz_rLUgP5I=s0,papier,[],485 x 667,Pietro Monaco
Portret van Franz von Schwanenfeld,https://lh3.googleusercontent.com/MFw0xIWuzsRnZWhV4jm8Dwe4CXjnY8-xpE8W23ReKuujThYh3NwBdJc8aHsEc7EtpQGr62GFldxA3GBwZpFYUqIO__bXFW3OrWVlsS4T=s0,papier,[],570 x 462,Ernst Friedrich Oldermann
Gezicht op het Beloselsky-Belozerskypaleis in Sint-Petersburg,https://lh3.googleusercontent.com/VZVDa78p8-4mBrwj4_fUqVKNtfSk4Kkxr0-HtWpIkRw2oqjCZ08zWDUFm_3FORK2Mhbf_XaUiZ3P1E4lQNLl9XQR5HA=s0,karton,[],85 x 170,L. Gothe
Bacchanaal,https://lh3.googleusercontent.com/MSyPnDL3jB9rT7TpMTJ3QrKSAeAj0EiBMF5KL0o1nhJ7VdPBy2zWnQ23wTAyAyWTQPAyRAIqcQCuZEvpvWfcqodemD5b9yRxXyuKaQYk=s0,papier,[],453 x 342,Etienne Fessard
Portret van Emile Auguste Carolus-Duran,https://lh3.googleusercontent.com/y2FKZ8kqLF2ZI6AaneOR6LOAiL4YFqKBvp-bUUUW96fdjJ7w5_0J1_GU7g8gXABlqtRzjKM-R2F7C8Xb3kz7oLoqPaOxlTa155SWjpYT=s0,papier,[],122 x 82,anoniem
"Beschrijving van het feestmaal bij de begrafenis van Gerrit Dirksz. den Uyl, herbergier te Sloten, 1680",https://lh4.ggpht.com/6u0We80Mzrijk-18y-QY9GqFQZoPrVtOGPT8hlo6zwq0wy7ApfptILj5ZJk6kQJyIfoUTwPfqlRNL39sdu8BKJ3gXCU=s0,papier,"[{'percentage': 87, 'hex': '#FBF6E1'}, {'percentage': 10, 'hex': ' #737C84'}, {'percentage': 1, 'hex': ' #2F4F4F'}]",104 x 82,anoniem
Bezoek aan de leprozerie Pelantoengan,https://lh3.googleusercontent.com/aP2z4eEmmJ1sv1nw7kbF52wU25wjgCsgXbEfSiu4fC-1wLZbgIjDYPNRirT8EV5kphgvGQ89sixXX16KEcOMk_hUZkA=s0,fotodrager,[],118 x 164,Otto Hisgen
Portret van Govert van Slingelandt,https://lh6.ggpht.com/1hmE5OLBxW4MS4MoTogQRrGxLtP1ZdoCLGJeWsjYELkz-ntXXJlVC1xUrj6j6xS1mZujYxyOX2IZLj4v77lJ9itRDac=s0,papier,"[{'percentage': 56, 'hex': '#FBF6E1'}, {'percentage': 21, 'hex': ' #E0CC91'}, {'percentage': 18, 'hex': ' #737C84'}, {'percentage': 3, 'hex': ' #2F4F4F'}]",180 x 120,Jacob Houbraken
"Aanslag van Maarten Schenck op Nijmegen, 1589",https://lh3.googleusercontent.com/yJtrRA8HvtB4_fAkza_FoYqpR8JaCQllSIuRzDsnh1pPLgPXBHKrCAO6WkzNAxF2bkjEHzO3enpRZQ6Mj-cfNELhmFk5=s0,papier,[],273 x 346,Jan Luyken
